 CCCS Medium 10.033-01,,*IMPORTANT: None of the controls in PT Family are selected for CCCS Medium baseline (Table 4.15),,,,,,CCCS Medium*,CSP Full Stack,CSP,,Client,,CDS Supplemental Attributes,,
ID,Name,Class,Title,Definition,Supplemental Guidance,References,Related Controls,,,Stacked PaaS,Stacked SaaS,IaaS / PaaS,SaaS,Organization Level,System Level,Priority
,,,,,,,,0,0,0,0,0,0,2,13,
,,,,,,,,,,,,,,,,
PT-01,Personal information handling and transparency policy and procedures,Activity,,"A. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles] personnel or roles with privacy policy and personal information handling responsibilities
1. [Selection (1 or more): organization-level; mission/business process-level; system-level] organization-level; system-level privacy policy and personal information handling procedures that
a. addresses objectives, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance obligations
b. is consistent with applicable laws, jurisprudence, directives, regulations, policies, directives, standards, and guidelines
2. procedures to facilitate the implementation of the privacy policy and procedures for personal information handling and the associated personal information handling and transparency controls
B. Delegate responsibility to [Assignment: organization-defined official] Privacy Officer to develop, document, and communicate personal information handling and transparency policy and procedures
C. Review and update personal information handling and transparency
1. privacy policy [Assignment: organization-defined frequency] at least every 3 years and following [Assignment: organization-defined events] significant changes in ITSP10.033; significant cybersecurity incident and/or privacy breach
2. personal information handling procedures, including transparency requirements [Assignment: organization-defined frequency] at least anually and following [Assignment: organization-defined events] significant changes in ITSP10.033; cybersecurity incidents; privacy breaches; changes in applicable laws, Orders in Council; changes in TBS directives, regulations, policies, standards, and guidelines","Privacy policies and personal information handling procedures, including transparency requirements, address the controls in the PT family that are implemented within systems or that are specific to program activities and to the organization. The risk management strategy is an important factor in establishing such policies and procedures. Policies and procedures contribute to security and privacy assurance. Therefore, it is important that security and privacy programs collaborate on the development of policies that document or affect personal information handling and procedures.

Security and privacy policies and procedures at the organization level are required and augment program activity or system-specific personal information handling procedures. The privacy policy can be included as part of the general security and privacy policy or be represented by multiple policies that reflect the complex nature of organizations.

Procedures can be established at the organizational level, for program activities or business processes, and for systems, if needed. Procedures describe how the policies or controls are implemented and can be directed at the individual or role that is the object of the procedure. Procedures can be documented in system security and privacy plans or in one or more separate documents.

Events that may precipitate an update to an organization privacy policy and personal information handling and transparency procedures include assessment or audit findings, breaches, or changes in applicable laws, jurisprudence, directives, regulations, policies, standards, and guidelines. Simply restating controls does not constitute an organizational policy or procedure.","TBS Policy on Privacy Protection
TBS Directive on Privacy Practices ","PM-18, PM-20, PM-27, SI-02",,,,,,,X,,P1
PT-02,Authority to collect and use personal information,Control,,"A. Determine and document the [Assignment: organization-defined authority] requirements of the Privacy Act and related TBS policies and directives that permits the [Assignment: organization-defined collection and use]  information system collection and use of personal information
B. Restrict the [Assignment: organization-defined collection and use] information system collection and use of personal information to only that which is authorized","GC discussion: Federal institutions are subject to laws or Orders in Council that provide the institution’s authority to establish program activities that collect and use personal information. Institutions must handle the personal information under their control in accordance with the requirements of the Privacy Act and related TBS policies and directives.
Appropriate privacy senior officials should consult with the appropriate privacy practitioner or executive and legal counsel regarding their authority and the appropriate handling requirements, particularly if the authorities are complex in nature. While handling of personal information is legally permissible, privacy risks may still arise.
PIAs, combined with other risk assessments, can identify the privacy impacts associated with the handling of personal information and support solutions to manage such risks. The Cyber Centre publication Organizational cyber security and privacy risk management activities (ITSP.10.036) provides an integrated approach to mitigating security and privacy risks through the system development lifecycle.
When handling personal information, federal institutions must follow the Privacy Act, its regulations, and related TBS policies and directives. Some organizations may also be subject to additional legislation that dictates handling requirements for personal information. With few exceptions, institutions must notify individuals of the purpose for collecting their information and how it will be used and disclosed. This notice should be given at the point of collection.
If personal information is used in a decision-making process or stored in a manner designated to be retrieved by the individual’s identity, institutions should further document the personal information elements that are collected or created (including the legal authority), and how they may be disclosed in PIBs. In addition, these program activities must conduct a PIA, which will serve as an input to the risk assessment. Privacy risks should be identified before the start of the program or activity. A summary of the PIA must be posted online. Additional accountability and governance steps must be taken prior to sharing personal information or contracting out services that involve personal information such as information sharing agreements or arrangements, contracts, and memoranda of understanding.","TBS Policy on Privacy Protection
TBS Directive on Privacy Practices
TBS Directive on Privacy Practices, Appendix C: Standard on Privacy Impact Assessment
TBS Guidance on Preparing Information Sharing Agreements Involving Personal Informatio
Organizational cyber security and privacy risk management activities (ITSP.10.036) (Not publicly available)","AC-02, AC-03, CM-13, IR-09, PM-09, PM-19, PM-24, PT-01, PT-03, PT-05, PT-06, RA-03, RA-08, SI-12, SI-18",,,,,,,X,,P1
PT-02(01),Authority to collect and use personal information: Data tagging,Control,,Attach data tags containing [Assignment: organization-defined authorized handling] to [Assignment: organization-defined elements of personal information].,"Data tags support the tracking and enforcement of authorized handling by conveying the types of handling that are authorized, along with the relevant elements of personal information throughout the system. Data tags may also support the use of automated tools.",,"AC-16, CA-06, CM-12, PM-05, PM-22, PT-04, SC-16, SC-43, SI-10, SI-15, SI-19",,,,,,,,,
PT-02(02),Authority to collect and use personal information: Automation,Control,,Manage enforcement of the authorized handling of personal information using [Assignment: organization-defined automated mechanisms].,Automated mechanisms augment verification that only authorized handling is occurring.,,"CA-06, CM-12, PM-05, PM-22, PT-04, SC-16, SC-43, SI-10, SI-15, SI-19",,,,,,,,,
PT-03,Personal information handling uses and disclosures,Control,,"A. Identify and document the [Assignment: organization-defined use(s) and disclosure(s)] information system use(s) and disclosure(s) associated with collections of personal information
B. Describe the purpose(s) of collection in the privacy notices and policies of the program activity or organization
C. Restrict the [Assignment: organization-defined use(s) and disclosure(s)] information system use(s) and disclosure(s) of personal information to only that which is compatible with the identified purpose(s) or permissible under the Privacy Act
D. Monitor changes in handling personal information and implement [Assignment: organization-defined mechanisms] a review process at least anually to ensure that any changes are made in accordance with [Assignment: identified legislative requirements] Privacy Act and related TBS policies and directives
AA. Update the PIB and notify the OPC and TBS of the new use or disclosure","GC discussion: Once the primary purpose of collection has been identified, the purpose is described in the activity or service privacy notices, policies, and any related privacy compliance documentation, including PIAs, PIBs, PIPEDA or Privacy Act requirements, and applicable legislation.Organizations must monitor for changes in personal information handling. Organizational personnel should consult with the appropriate privacy senior official or executive and legal counsel to ensure that any new uses or disclosures that arise are compatible with the purpose for which the information was collected and are consistent with that purpose or a permissible use or disclosure in accordance with the Privacy Act. If the use or disclosure is not permissible, consent may be required.","Privacy Act

TBS Policy on Privacy Protection

TBS Directive on Privacy Practices

TBS Directive on Privacy Practices, Appendix C: Standard on Privacy Impact Assessment","AC-02, AC-03, AT-03, CM-13, IR-09, PM-09, PM-25, PT-02, PT-05, PT-06, PT-07, RA-08, SC-43, SI-12, SI-18",,,,,,,,X,P1
PT-03(01),Personal information handling uses and disclosures: Data tagging,Control,,Attach data tags containing the following purposes to [Assignment: organization-defined elements of personal information]: [Assignment: organization-defined handling purposes].,"Data tags support the tracking of handling purposes by conveying the purposes along with the relevant elements of personal information throughout the system. By conveying the handling purposes in a data tag along with the personal information as the information transits a system, a system owner or operator can identify whether a change in handling would be compatible with the identified and documented purposes. Data tags may also support the use of automated tools.",,"CA-06, CM-12, PM-05, PM-22, SC-16, SC-43, SI-10, SI-15, SI-19",,,,,,,,,
PT-03(02),Personal information handling uses and disclosures: Automation,Control,,Track handling purposes of personal information using [Assignment: organization-defined automated mechanisms].,Automated mechanisms augment tracking of the handling purposes,,"CA-06, CM-12, PM-05, PM-22, SC-16, SC-43, SI-10, SI-15, SI-19",,,,,,,,,
