 CCCS Cloud Security Control Recommendations (31-May-2019),,,,,,,CSP Full Stack,CSP,,Client,,CDS Supplemental Attributes,,
ID,Name,Class,Title,Definition,Supplemental Guidance,CCCS Medium Profile for Cloud,,Stacked PaaS,Stacked SaaS,IaaS / PaaS,SaaS,Organization Level,System Level,Priority
,,,,,,353,331,309,304,327,171,273,80,
,,,,,,,,,,,,,,
AC-1,Access Control Policy and Procedures,Technical,Access Control Policy and Procedures,"(A)	The organization develops, documents, and disseminates to personnel or roles with access control responsibilities:
(a)	An access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance; and
(b)	Procedures to facilitate the implementation of the access control policy and associated access controls.
(B)	The organization reviews and updates the current:
(a) Access control policy at least every 3 years; and
(b) Access control procedures at least annually.
","This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the AC family. Policy and procedures reflect applicable policies, directives and standards. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures",X,X,X,X,X,X,X,,P1
AC-2,Account Management ,Technical,Account Management,"(A) The organization identifies and selects which types of information system accounts support organizational missions/business functions.
(B) The organization assigns account managers for information system accounts.
(C) The organization establishes conditions for group and role membership.
(D) The organization specifies authorized users of the information system, group and role membership, and access authorizations (i.e., privileges) and other attributes (as required) for each account.
(E) The organization requires approvals by responsible managers for requests to create information system accounts.
(F) The organization creates, enables, modifies, disables, and removes information system accounts in accordance with information system account management procedures.
(G) The organization monitors the use of information system accounts.
(H) The organization notifies account managers:
(a) When accounts are no longer required;
(b) When users are terminated or transferred; and
(c) When individual information system usage or need-to-know changes.
(I) The organization authorizes access to the information system based on:
(a) A valid access authorization;
(b) Intended system usage; and
(c) Other attributes as required by the organization or associated missions/business functions.
(J) The organization reviews accounts for compliance with account management requirements at least annually.
(K) The organization establishes a process for reissuing shared/group account credentials (if deployed) when individuals are removed from the group.","Information system account types include, for example, individual, shared, group, system, guest/anonymous, emergency, developer/manufacturer/vendor, temporary, and service. Some of the account management requirements listed above can be implemented by organizational information systems. The identification of authorized users of the information system and the specification of access privileges reflects the requirements in other security controls in the security plan. Users requiring administrative privileges on information system accounts receive additional scrutiny by appropriate organizational personnel (e.g., system owner, mission/business owner, or information technology security co-ordinator) responsible for approving such accounts and privileged access. Organizations may choose to define access privileges or other attributes by account, by type of account, or a combination of both. Other attributes required for authorizing access include, for example, restrictions on time-of-day, day-of-week, and point-of-origin. In defining other account attributes, organizations consider system-related requirements (e.g., scheduled maintenance, system upgrades) and mission/business requirements, (e.g., time zone differences, customer requirements, remote access to support travel requirements). Failure to consider these factors could affect information system availability. Temporary and emergency accounts are accounts intended for short-term use. Organizations establish temporary accounts as a part of normal account activation procedures when there is a need for short-term accounts without the demand for immediacy in account activation. Organizations establish emergency accounts in response to crisis situations and with the need for rapid account activation. Therefore, emergency account activation may bypass normal account authorization processes. Emergency and temporary accounts are not to be confused with infrequently used accounts (e.g., local accounts used for special tasks defined by organizations or when network resources are unavailable). Such accounts remain available and are not subject to automatic disabling or removal dates. Conditions for disabling or deactivating accounts include, for example: (i) when shared/group, emergency, or temporary accounts are no longer required; or (ii) when individuals are transferred or terminated. Some types of information system accounts may require specialized training. Related controls: AC-3, AC-4, AC-5, AC-6, AC-10, AC-17, AC-19, AC-20, AU-9, IA-2, IA-4, IA-5, IA-8, CM-5, CM-6, CM-11, MA-3, MA-4, MA-5, PL-4, SC-13",X,X,X,X,X,X,X,,P1
AC-2(1)	,Account Management ,Technical,Account Management | Automated System Account Management,"	ACCOUNT MANAGEMENT | AUTOMATED SYSTEM ACCOUNT MANAGEMENT
The organization employs automated mechanisms to support the management of information system accounts.","The use of automated mechanisms can include, for example: using email or text messaging to automatically notify account managers when users are terminated or transferred; using the information system to monitor account usage; and using telephonic notification to report atypical system account usage.",X,X,X,X,X,X,X,,P2
AC-2(2)	,Account Management ,Technical,Account Management | Removal of Temporary / Emergency Accounts,"	ACCOUNT MANAGEMENT | REMOVAL OF TEMPORARY / EMERGENCY ACCOUNTS
The information system automatically disables temporary and emergency accounts after no more than 30 days for both temporary and emergency accounts.","This control enhancement requires the removal of both temporary and emergency accounts automatically after a predefined period of time has elapsed, rather than at the convenience of the systems administrator.",X,X,X,X,X,,,X,P2
AC-2(3)	,Account Management ,Technical,Account Management | Disable Inactive Accounts,"	ACCOUNT MANAGEMENT | DISABLE INACTIVE ACCOUNTS
The information system automatically disables inactive accounts after 90 days.",,X,X,X,X,X,,,X,P2
AC-2(4)	,Account Management ,Technical,Account Management | Automated Audit Actions,"	ACCOUNT MANAGEMENT | AUTOMATED AUDIT ACTIONS
The information system automatically audits account creation, modification, enabling, disabling, and removal actions, and notifies responsible managers. Related controls: AU-2, AU-12.",,X,X,X,X,X,,,X,P2
AC-2(5)	,Account Management ,Technical,Account Management | Inactivity Logout,"	ACCOUNT MANAGEMENT | INACTIVITY LOGOUT
The organization requires that users log out at the end of the users’ standard work period unless otherwise defined in formal organizational policy. Related controls: SC-23",,X,X,X,X,X,X,X,,P2
